relationship_id,source_criminal,target_criminal,relationship_type,shared_fir_count,strength_score,active
REL000001,CR02861,CR01114,Known Contact,0,21,False
REL000002,CR02231,CR02504,Known Contact,0,39,True
REL000003,CR00498,CR00624,Gang Member,0,86,False
REL000004,CR00466,CR01446,Family,0,29,True
REL000005,CR02171,CR02160,Family,0,58,True
REL000006,CR01835,CR01500,Associate,0,90,True
REL000007,CR00408,CR00309,Known Contact,0,7,True
REL000008,CR00162,CR00117,Gang Member,0,12,True
REL000009,CR00346,CR02532,Business Partner,0,48,True
REL000010,CR00822,CR02454,Known Contact,0,65,True
REL000011,CR00997,CR01721,Financial Link,0,15,True
REL000012,CR02128,CR02199,Business Partner,0,20,False
REL000013,CR02965,CR01690,Business Partner,0,8,True
REL000014,CR01266,CR00100,Co-Offender,0,35,False
REL000015,CR01853,CR02522,Gang Member,0,37,True
REL000016,CR02681,CR00562,Co-Offender,0,83,True
REL000017,CR01844,CR02270,Family,0,20,False
REL000018,CR01602,CR01719,Financial Link,0,31,True
REL000019,CR02512,CR01118,Financial Link,0,67,True
REL000020,CR01834,CR01241,Associate,0,97,True
REL000021,CR02358,CR02966,Family,0,58,False
REL000022,CR02458,CR01617,Co-Offender,0,77,True
REL000023,CR02901,CR02793,Business Partner,0,23,True
REL000024,CR02709,CR02084,Financial Link,0,38,False
REL000025,CR00487,CR01967,Associate,0,10,False
REL000026,CR01924,CR02281,Business Partner,0,43,True
REL000027,CR01702,CR01664,Business Partner,0,77,False
REL000028,CR02987,CR01742,Co-Offender,0,41,False
REL000029,CR01567,CR00146,Known Contact,0,92,True
REL000030,CR02431,CR02089,Gang Member,0,67,True
REL000031,CR00457,CR02523,Business Partner,0,34,False
REL000032,CR01447,CR00697,Known Contact,0,17,True
REL000033,CR00634,CR02414,Associate,0,29,True
REL000034,CR01596,CR01236,Family,0,3,False
REL000035,CR02113,CR01940,Financial Link,0,79,False
REL000036,CR00856,CR00841,Family,0,22,True
REL000037,CR00256,CR01297,Financial Link,0,77,False
REL000038,CR02643,CR01965,Financial Link,0,21,False
REL000039,CR00727,CR01573,Co-Offender,0,100,True
REL000040,CR00645,CR02332,Co-Offender,0,23,True
REL000041,CR02004,CR02172,Family,0,33,False
REL000042,CR01168,CR00575,Co-Offender,0,73,False
REL000043,CR02810,CR00344,Business Partner,0,12,True
REL000044,CR01935,CR00182,Financial Link,0,100,True
REL000045,CR02454,CR01928,Associate,0,18,True
REL000046,CR01568,CR01903,Associate,0,48,True
REL000047,CR00913,CR02758,Gang Member,0,13,True
REL000048,CR01977,CR02634,Associate,0,61,True
REL000049,CR02608,CR01859,Gang Member,0,74,True
REL000050,CR00482,CR02002,Business Partner,0,25,True
REL000051,CR00515,CR00967,Known Contact,0,96,True
REL000052,CR00747,CR00884,Financial Link,0,75,True
REL000053,CR00886,CR01868,Business Partner,0,66,False
REL000054,CR00606,CR00015,Gang Member,0,76,True
REL000055,CR00871,CR01949,Associate,0,82,True
REL000056,CR00044,CR01195,Known Contact,0,97,True
REL000057,CR01060,CR02369,Gang Member,0,66,True
REL000058,CR02561,CR02835,Family,0,2,False
REL000059,CR01744,CR02261,Co-Offender,0,66,False
REL000060,CR00064,CR00535,Financial Link,0,50,True
REL000061,CR02548,CR02988,Co-Offender,0,61,True
REL000062,CR01871,CR00590,Family,0,17,True
REL000063,CR00570,CR02747,Known Contact,0,38,True
REL000064,CR00621,CR02432,Co-Offender,0,97,True
REL000065,CR00518,CR02950,Gang Member,0,63,True
REL000066,CR01069,CR02209,Financial Link,0,50,True
REL000067,CR00747,CR01208,Financial Link,0,38,True
REL000068,CR02702,CR02611,Business Partner,0,24,True
REL000069,CR02554,CR01455,Co-Offender,0,33,True
REL000070,CR02850,CR00246,Gang Member,0,97,False
REL000071,CR00259,CR00306,Financial Link,0,18,True
REL000072,CR00409,CR00454,Family,0,71,True
